Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Adrian Mariappa (11831364),Adrian Mariappa,11831364,D/UTIL,3100,WHU vs WAT 10:00AM ET,WAT,1.83
M,Nathan Holland (11831699),Nathan Holland,11831699,M/UTIL,3100,WHU vs WAT 10:00AM ET,WHU,0
M,Domingos Quina (11831703),Domingos Quina,11831703,M/UTIL,3100,WHU vs WAT 10:00AM ET,WAT,6.42
D,Jack Simpson (11831378),Jack Simpson,11831378,D/UTIL,3000,BOU vs BHA 10:00AM ET,BOU,0
M,Will Collar (11831731),Will Collar,11831731,M/UTIL,3000,BOU vs BHA 10:00AM ET,BHA,0
D,Eric Bailly (11831370),Eric Bailly,11831370,D/UTIL,3000,CAR vs MU 12:30PM ET,MU,1.57
D,Greg Cunningham (11831382),Greg Cunningham,11831382,D/UTIL,3000,CAR vs MU 12:30PM ET,CAR,3.5
M,James Garner (11831713),James Garner,11831713,M/UTIL,3000,CAR vs MU 12:30PM ET,MU,0
M,Loic Damour (11831747),Loic Damour,11831747,M/UTIL,3000,CAR vs MU 12:30PM ET,CAR,0.25
D,Jonny Evans (11831372),Jonny Evans,11831372,D/UTIL,3000,CHE vs LEI 10:00AM ET,LEI,3.11
M,Thakgalo Leshabela (11831715),Thakgalo Leshabela,11831715,M/UTIL,3000,CHE vs LEI 10:00AM ET,LEI,0
M,Vicente Iborra (11831749),Vicente Iborra,11831749,M/UTIL,3000,CHE vs LEI 10:00AM ET,LEI,0.75
M,Matty James (11831753),Matty James,11831753,M/UTIL,3000,CHE vs LEI 10:00AM ET,LEI,0
M,Nampalys Mendy (11831755),Nampalys Mendy,11831755,M/UTIL,3000,CHE vs LEI 10:00AM ET,LEI,2.17
M,Abdelhamid Sabiri (11831733),Abdelhamid Sabiri,11831733,M/UTIL,3000,HUD vs SOU 10:00AM ET,HUD,1.25
M,Tyreke Johnson (11831751),Tyreke Johnson,11831751,M/UTIL,3000,HUD vs SOU 10:00AM ET,SOU,0
M,Jonathan Williams (11831721),Jonathan Williams,11831721,M/UTIL,3000,MCI vs CRY 10:00AM ET,CRY,0
M,Jairo Riedewald (11831723),Jairo Riedewald,11831723,M/UTIL,3000,MCI vs CRY 10:00AM ET,CRY,0
M,Sullay Kaikai (11831725),Sullay Kaikai,11831725,M/UTIL,3000,MCI vs CRY 10:00AM ET,CRY,0
M,Nya Kirby (11831727),Nya Kirby,11831727,M/UTIL,3000,MCI vs CRY 10:00AM ET,CRY,0
M,Gio McGregor (11831729),Gio McGregor,11831729,M/UTIL,3000,MCI vs CRY 10:00AM ET,CRY,0
D,Timothy Fosu-Mensah (11831380),Timothy Fosu-Mensah,11831380,D/UTIL,3000,NEW vs FUL 10:00AM ET,FUL,2.46
M,Ibrahima Cisse (11831735),Ibrahima Cisse,11831735,M/UTIL,3000,NEW vs FUL 10:00AM ET,FUL,-0.5
M,Luca De La Torre (11831737),Luca De La Torre,11831737,M/UTIL,3000,NEW vs FUL 10:00AM ET,FUL,0
M,Matt O'Riley (11831739),Matt O'Riley,11831739,M/UTIL,3000,NEW vs FUL 10:00AM ET,FUL,0
M,Harvey Elliott (11831741),Harvey Elliott,11831741,M/UTIL,3000,NEW vs FUL 10:00AM ET,FUL,0
M,Kevin McDonald (11831743),Kevin McDonald,11831743,M/UTIL,3000,NEW vs FUL 10:00AM ET,FUL,0.86
D,Steven Sessegnon (11831745),Steven Sessegnon,11831745,D/UTIL,3000,NEW vs FUL 10:00AM ET,FUL,0
D,Angelo Ogbonna (11831374),Angelo Ogbonna,11831374,D/UTIL,3000,WHU vs WAT 10:00AM ET,WHU,1.1
D,Craig Cathcart (11831376),Craig Cathcart,11831376,D/UTIL,3000,WHU vs WAT 10:00AM ET,WAT,3.31
M,Joe Powell (11831717),Joe Powell,11831717,M/UTIL,3000,WHU vs WAT 10:00AM ET,WHU,0
M,Xande Silva (11831719),Xande Silva,11831719,M/UTIL,3000,WHU vs WAT 10:00AM ET,WHU,0
D,Lewis Dunk (11831396),Lewis Dunk,11831396,D/UTIL,2900,BOU vs BHA 10:00AM ET,BHA,3.14
D,Matthew Connolly (11831400),Matthew Connolly,11831400,D/UTIL,2900,CAR vs MU 12:30PM ET,CAR,0
D,Daniel Amartey (11831386),Daniel Amartey,11831386,D/UTIL,2900,CHE vs LEI 10:00AM ET,LEI,2.47
D,Danny Simpson (11831388),Danny Simpson,11831388,D/UTIL,2900,CHE vs LEI 10:00AM ET,LEI,1.25
D,James Tomkins (11831392),James Tomkins,11831392,D/UTIL,2900,MCI vs CRY 10:00AM ET,CRY,3.16
D,Jamie Sterry (11831384),Jamie Sterry,11831384,D/UTIL,2900,NEW vs FUL 10:00AM ET,NEW,0
D,Denis Odoi (11831398),Denis Odoi,11831398,D/UTIL,2900,NEW vs FUL 10:00AM ET,FUL,2.43
D,Winston Reid (11831390),Winston Reid,11831390,D/UTIL,2900,WHU vs WAT 10:00AM ET,WHU,0
D,Miguel Britos (11831394),Miguel Britos,11831394,D/UTIL,2900,WHU vs WAT 10:00AM ET,WAT,0
D,Leon Balogun (11831412),Leon Balogun,11831412,D/UTIL,2800,BOU vs BHA 10:00AM ET,BHA,3.25
D,Ezequiel Schelotto (11831414),Ezequiel Schelotto,11831414,D/UTIL,2800,BOU vs BHA 10:00AM ET,BHA,0
D,Jazz Richards (11831418),Jazz Richards,11831418,D/UTIL,2800,CAR vs MU 12:30PM ET,CAR,0.33
D,Wes Morgan (11831402),Wes Morgan,11831402,D/UTIL,2800,CHE vs LEI 10:00AM ET,LEI,1.96
D,Jan Bednarek (11831404),Jan Bednarek,11831404,D/UTIL,2800,HUD vs SOU 10:00AM ET,SOU,1.88
D,Jon Gorenc Stankovic (11831416),Jon Gorenc Stankovic,11831416,D/UTIL,2800,HUD vs SOU 10:00AM ET,HUD,8
D,Mamadou Sakho (11831408),Mamadou Sakho,11831408,D/UTIL,2800,MCI vs CRY 10:00AM ET,CRY,2.79
D,Ryan Fredericks (11831406),Ryan Fredericks,11831406,D/UTIL,2800,WHU vs WAT 10:00AM ET,WHU,1.5
D,Younes Kaboul (11831410),Younes Kaboul,11831410,D/UTIL,2800,WHU vs WAT 10:00AM ET,WAT,0
D,Ben Barclay (11831428),Ben Barclay,11831428,D/UTIL,2700,BOU vs BHA 10:00AM ET,BHA,0
D,Yohan Benalouane (11831420),Yohan Benalouane,11831420,D/UTIL,2700,CHE vs LEI 10:00AM ET,LEI,0
D,Scott Dann (11831424),Scott Dann,11831424,D/UTIL,2700,MCI vs CRY 10:00AM ET,CRY,0
D,Alfie Mawson (11831430),Alfie Mawson,11831430,D/UTIL,2700,NEW vs FUL 10:00AM ET,FUL,1.58
D,Reece Oxford (11831422),Reece Oxford,11831422,D/UTIL,2700,WHU vs WAT 10:00AM ET,WHU,0
D,Sebastian Prodl (11831426),Sebastian Prodl,11831426,D/UTIL,2700,WHU vs WAT 10:00AM ET,WAT,-0.5
D,Ben White (11831438),Ben White,11831438,D/UTIL,2600,BOU vs BHA 10:00AM ET,BHA,0
D,Lee Peltier (11831442),Lee Peltier,11831442,D/UTIL,2600,CAR vs MU 12:30PM ET,CAR,1.12
D,Josh Knight (11831432),Josh Knight,11831432,D/UTIL,2600,CHE vs LEI 10:00AM ET,LEI,0
D,Martin Kelly (11831434),Martin Kelly,11831434,D/UTIL,2600,MCI vs CRY 10:00AM ET,CRY,2.62
D,Tim Ream (11831440),Tim Ream,11831440,D/UTIL,2600,NEW vs FUL 10:00AM ET,FUL,1.21
D,Ben Wilmot (11831436),Ben Wilmot,11831436,D/UTIL,2600,WHU vs WAT 10:00AM ET,WAT,0
D,Caglar Soyuncu (11831444),Caglar Soyuncu,11831444,D/UTIL,2500,CHE vs LEI 10:00AM ET,LEI,0.19
D,Sam Woods (11831446),Sam Woods,11831446,D/UTIL,2500,MCI vs CRY 10:00AM ET,CRY,0
