Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
GK,Danny Ward (11831174),Danny Ward,11831174,GK,3600,CHE vs LEI 10:00AM ET,LEI,0
D,Christian Fuchs (11831290),Christian Fuchs,11831290,D/UTIL,3600,CHE vs LEI 10:00AM ET,LEI,7.75
M,Daniel Drinkwater (11831599),Daniel Drinkwater,11831599,M/UTIL,3600,CHE vs LEI 10:00AM ET,CHE,0
D,Tommy Smith (11831296),Tommy Smith,11831296,D/UTIL,3600,HUD vs SOU 10:00AM ET,HUD,2.88
M,Juninho Bacuna (11831605),Juninho Bacuna,11831605,M/UTIL,3600,HUD vs SOU 10:00AM ET,HUD,3.19
GK,Vicente Guaita (11831175),Vicente Guaita,11831175,GK,3600,MCI vs CRY 10:00AM ET,CRY,13.5
D,Patrick van Aanholt (11831292),Patrick van Aanholt,11831292,D/UTIL,3600,MCI vs CRY 10:00AM ET,CRY,5.62
M,Claudio Gomes (11831601),Claudio Gomes,11831601,M/UTIL,3600,MCI vs CRY 10:00AM ET,MCI,0
F,Connor Wickham (11831910),Connor Wickham,11831910,F/UTIL,3600,MCI vs CRY 10:00AM ET,CRY,0.75
D,Calum Chambers (11831298),Calum Chambers,11831298,D/UTIL,3600,NEW vs FUL 10:00AM ET,FUL,3.16
D,Charlie Daniels (11831308),Charlie Daniels,11831308,D/UTIL,3500,BOU vs BHA 10:00AM ET,BOU,3.8
M,Dan Gosling (11831617),Dan Gosling,11831617,M/UTIL,3500,BOU vs BHA 10:00AM ET,BOU,1.94
D,Chris Smalling (11831300),Chris Smalling,11831300,D/UTIL,3500,CAR vs MU 12:30PM ET,MU,2.85
M,Andreas Pereira (11831607),Andreas Pereira,11831607,M/UTIL,3500,CAR vs MU 12:30PM ET,MU,1.88
M,George McEachran (11831609),George McEachran,11831609,M/UTIL,3500,CHE vs LEI 10:00AM ET,CHE,0
D,Wesley Hoedt (11831304),Wesley Hoedt,11831304,D/UTIL,3500,HUD vs SOU 10:00AM ET,SOU,3.73
D, Zanka (11831310), Zanka,11831310,D/UTIL,3500,HUD vs SOU 10:00AM ET,HUD,5.03
M,Isaac Mbenza (11831619),Isaac Mbenza,11831619,M/UTIL,3500,HUD vs SOU 10:00AM ET,HUD,1.73
GK,Julian Speroni (11831176),Julian Speroni,11831176,GK,3500,MCI vs CRY 10:00AM ET,CRY,0
GK,Wayne Hennessey (11831177),Wayne Hennessey,11831177,GK,3500,MCI vs CRY 10:00AM ET,CRY,5
GK,Dion Henry (11831178),Dion Henry,11831178,GK,3500,MCI vs CRY 10:00AM ET,CRY,0
D,Vincent Kompany (11831302),Vincent Kompany,11831302,D/UTIL,3500,MCI vs CRY 10:00AM ET,MCI,0.71
